model,layer,hidden_dim,gamma,gamma_raw,effective_rank,dead_pct_init_topk,dead_pct_init_relu,dead_pct_init_centered,dead_pct_init_ln_centered,dead_pct_init_pca,domain
esm2_3B,13,2560,3.4613748,2.4997818,403.0492715598189,84.0087890625,3.7353515625,0.0,0.0,0.0,biology
esm2_3B,14,2560,3.2782257,2.5151134,370.16150276209214,82.67822265625,3.01513671875,0.0,0.0,0.0,biology
esm2_3B,15,2560,3.2576282,2.5385473,414.4484232339775,81.6650390625,2.63671875,0.0,0.0,0.0,biology
esm2_3B,16,2560,2.9939036,2.3747165,427.8085509188618,80.89599609375,2.5390625,0.0,0.0,0.0,biology
esm2_3B,17,2560,2.827887,2.3635845,463.7971487531785,79.6875,2.06298828125,0.0,0.0,0.0,biology
esm2_3B,18,2560,2.5347703,0.19441974,440.584178511163,74.51171875,0.13427734375,0.0,0.0,0.0,biology
esm2_3B,19,2560,2.512403,2.1666443,542.9626027989115,75.45166015625,1.318359375,0.0,0.0,0.0,biology
esm2_3B,20,2560,2.3591318,2.025607,602.8013985216579,73.0712890625,1.0009765625,0.0,0.0,0.0,biology
esm2_3B,21,2560,2.198287,1.8748633,647.6188941853683,70.03173828125,0.78125,0.0,0.0,0.0,biology
esm2_3B,22,2560,2.107538,1.8471131,678.2698185639473,67.6513671875,0.6103515625,0.0,0.0,0.0,biology
esm2_3B,23,2560,2.0218089,1.7829205,697.7000674731426,63.8916015625,0.37841796875,0.0,0.0,0.0,biology
esm2_3B,24,2560,1.9617075,1.7104703,745.6904133047494,61.02294921875,0.23193359375,0.0,0.0,0.0,biology
esm2_3B,25,2560,1.8902564,1.6740748,779.1932204106943,57.77587890625,0.15869140625,0.0,0.0,0.0,biology
esm2_3B,26,2560,1.8283314,1.6208183,853.2508847488206,54.65087890625,0.13427734375,0.0,0.0,0.0,biology
esm2_3B,27,2560,1.7820531,1.6072927,883.692682982189,52.24609375,0.09765625,0.0,0.0,0.0,biology
esm2_3B,28,2560,1.7555768,1.5625532,880.426613809307,49.3408203125,0.08544921875,0.0,0.0,0.0,biology
esm2_3B,29,2560,1.7244023,1.5385638,912.6302497966716,46.10595703125,0.08544921875,0.0,0.0,0.0,biology
esm2_3B,30,2560,1.6765136,1.481908,925.8773376838768,43.26171875,0.01220703125,0.0,0.0,0.0,biology
esm2_3B,31,2560,1.628277,1.4462754,964.9889057675324,41.02783203125,0.048828125,0.0,0.0,0.0,biology
esm2_3B,32,2560,1.5962299,1.3962897,943.093835818216,36.92626953125,0.0244140625,0.0,0.0,0.0,biology
esm2_3B,33,2560,1.5752383,1.3643341,954.4892642996192,33.97216796875,0.0,0.0,0.0,0.0,biology
esm2_3B,34,2560,1.5532527,1.3564363,941.0515993156224,31.14013671875,0.01220703125,0.0,0.0,0.0,biology
esm2_3B,35,2560,1.535007,1.396989,888.5898484297737,31.04248046875,0.0,0.0,0.0,0.0,biology
esm2_650m,1,1280,5.181715,5.128731,101.42272562101851,91.6015625,10.8642578125,0.0,0.01220703125,0.0,biology
esm2_650m,2,1280,4.6134777,4.510847,203.99683993869303,91.39404296875,11.36474609375,0.0,0.0,0.0,biology
esm2_650m,3,1280,3.607497,3.53311,280.29361919331626,87.97607421875,7.8369140625,0.0,0.0,0.0,biology
esm2_650m,4,1280,2.800609,2.7065494,380.8119435056054,81.57958984375,4.21142578125,0.0,0.0,0.0,biology
esm2_650m,5,1280,2.242235,2.1358724,425.2876401160874,73.35205078125,1.6845703125,0.0,0.0,0.0,biology
esm2_650m,6,1280,1.9351974,1.8311199,485.9760207957095,63.29345703125,0.37841796875,0.0,0.0,0.0,biology
esm2_650m,7,1280,1.8376676,1.7052917,508.2415971397161,57.03125,0.1220703125,0.0,0.0,0.0,biology
esm2_650m,8,1280,1.8708346,1.7155643,492.47533086513727,53.271484375,0.01220703125,0.0,0.0,0.0,biology
esm2_650m,9,1280,1.9862531,1.786492,448.5556507522976,51.25732421875,0.0,0.0,0.0,0.0,biology
esm2_650m,10,1280,2.464352,2.2053878,336.45639757114606,52.13623046875,0.01220703125,0.0,0.0,0.0,biology
esm2_650m,11,1280,2.2008793,1.8932933,375.84332081402624,51.74560546875,0.01220703125,0.0,0.0,0.0,biology
esm2_650m,12,1280,2.6074371,2.3140607,347.2776009667966,56.396484375,0.01220703125,0.0,0.0,0.0,biology
esm2_650m,13,1280,2.3212996,1.9659518,401.1266129818861,56.15234375,0.0,0.0,0.0,0.0,biology
esm2_650m,14,1280,2.1871665,1.734427,495.2114221214812,54.33349609375,0.0,0.0,0.0,0.0,biology
esm2_650m,15,1280,2.008999,1.591553,539.8966102982606,49.7802734375,0.0,0.0,0.0,0.0,biology
esm2_650m,16,1280,1.9013952,1.4157116,380.1522703741144,48.57177734375,0.0,0.0,0.0,0.0,biology
esm2_650m,17,1280,1.665803,1.3900113,571.3809020247215,43.2373046875,0.0,0.0,0.0,0.0,biology
esm2_650m,18,1280,1.6107053,1.3773515,611.7736328918453,39.88037109375,0.0,0.0,0.0,0.0,biology
esm2_650m,19,1280,1.5622272,1.3545772,629.7741263062406,37.8173828125,0.0,0.0,0.0,0.0,biology
esm2_650m,20,1280,1.5088639,1.3318002,653.9314855323316,34.228515625,0.0,0.0,0.0,0.0,biology
esm2_650m,21,1280,1.4196215,1.255641,670.719236094879,30.70068359375,0.0,0.0,0.0,0.0,biology
esm2_650m,22,1280,1.3765166,1.227449,676.8984482545536,27.81982421875,0.0,0.0,0.0,0.0,biology
esm2_650m,23,1280,1.3290235,1.1959622,679.8215948368942,24.25537109375,0.0,0.0,0.0,0.0,biology
esm2_650m,24,1280,1.2853395,1.1669605,700.4560422270218,21.56982421875,0.0,0.0,0.0,0.0,biology
esm2_650m,25,1280,1.271496,1.1515412,700.124912009525,20.10498046875,0.0,0.0,0.0,0.0,biology
esm2_650m,26,1280,1.280028,1.1554495,694.9554883873295,19.384765625,0.0,0.0,0.0,0.0,biology
esm2_650m,27,1280,1.2563844,1.1404256,688.5291444932407,17.6513671875,0.0,0.0,0.0,0.0,biology
esm2_650m,28,1280,1.2403398,1.115956,664.1895757865987,16.1376953125,0.0,0.0,0.0,0.0,biology
esm2_650m,29,1280,1.2028805,1.0457937,618.2270383299109,14.404296875,0.0,0.0,0.0,0.0,biology
esm2_650m,30,1280,1.2027225,1.1030185,602.1190108060115,13.671875,0.0,0.0,0.0,0.0,biology
esm2_650m,31,1280,1.205504,1.094096,565.8706532107858,13.22021484375,0.0,0.0,0.0,0.0,biology
esm2_650m,32,1280,1.14458,1.0717878,542.7442377671229,7.21435546875,0.0,0.0,0.0,0.0,biology
esm3,1,1536,44.438942,38.70995,22.066033240638003,98.92578125,46.13037109375,20.76416015625,21.142578125,0.0,biology
esm3,2,1536,44.99793,38.675934,23.880640514453447,98.9013671875,46.13037109375,16.8212890625,16.05224609375,0.0,biology
esm3,3,1536,36.291534,31.580145,46.416254818576114,98.79150390625,44.9462890625,0.37841796875,0.35400390625,0.0,biology
esm3,4,1536,31.598082,27.029182,64.12663888626265,98.73046875,44.140625,0.048828125,0.01220703125,0.0,biology
esm3,5,1536,24.157763,21.507637,108.0507988625898,98.53515625,42.46826171875,0.0,0.0,0.0,biology
esm3,6,1536,22.926414,20.389208,122.90817335205011,98.47412109375,41.95556640625,0.0,0.0,0.0,biology
esm3,7,1536,19.149675,17.261292,160.6639016007037,98.32763671875,40.2587890625,0.0,0.0,0.0,biology
esm3,8,1536,17.108503,15.448218,185.7555219850868,98.13232421875,39.17236328125,0.0,0.0,0.0,biology
esm3,9,1536,15.111935,13.833034,232.0071707630177,97.98583984375,37.65869140625,0.0,0.0,0.0,biology
esm3,10,1536,14.183953,13.005769,269.85489560529743,97.900390625,36.87744140625,0.0,0.0,0.0,biology
esm3,11,1536,13.547555,12.388574,294.8793733892758,97.79052734375,36.1083984375,0.0,0.0,0.0,biology
esm3,12,1536,12.558245,11.599311,325.7115446868976,97.6806640625,34.97314453125,0.0,0.0,0.0,biology
esm3,13,1536,11.979776,11.060081,362.6132843491226,97.54638671875,34.38720703125,0.0,0.0,0.0,biology
esm3,14,1536,11.727043,10.810919,381.35987569855627,97.4853515625,33.75244140625,0.0,0.0,0.0,biology
esm3,15,1536,11.052916,10.251532,407.2625609807049,97.30224609375,32.72705078125,0.0,0.0,0.0,biology
